Gene	Uniprot	Breast cancer	Cervical cancer	Colorectal cancer	Endometrial cancer	Glioma	Head and neck cancer	Liver cancer	Lung cancer	Melanoma	Ovarian cancer	Pancreatic cancer	Prostate cancer	Renal cancer	Stomach cancer	Testis cancer	Thyroid cancer	Urothelial cancer
ANLN	Q9NQW6	unprognostic (4.23e-2)	unprognostic (1.59e-3)	unprognostic (1.49e-1)	prognostic unfavourable (1.73e-4)	unprognostic (1.67e-2)	unprognostic (3.44e-2)	prognostic unfavourable (5.97e-7)	prognostic unfavourable (6.99e-5)	unprognostic (2.69e-2)	unprognostic (3.66e-2)	prognostic unfavourable (2.00e-6)	unprognostic (3.13e-2)	prognostic unfavourable (0.00e+0)	unprognostic (5.29e-2)	unprognostic (1.34e-1)	unprognostic (2.94e-2)	unprognostic (4.04e-3)
CEP55	Q53EZ4	unprognostic (9.85e-2)	unprognostic (1.12e-2)	unprognostic (1.04e-1)	unprognostic (1.29e-1)	unprognostic (5.15e-2)	unprognostic (4.26e-2)	prognostic unfavourable (3.20e-9)	prognostic unfavourable (1.45e-4)	unprognostic (1.50e-1)	unprognostic (1.05e-1)	prognostic unfavourable (2.66e-5)	unprognostic (3.99e-2)	prognostic unfavourable (0.00e+0)	prognostic favourable (3.15e-4)	unprognostic (7.86e-2)	unprognostic (1.49e-1)	unprognostic (1.63e-1)
TPX2	Q9ULW0	unprognostic (2.18e-2)	unprognostic (1.77e-1)	unprognostic (1.97e-2)	prognostic unfavourable (2.43e-6)	unprognostic (2.99e-1)	unprognostic (7.56e-2)	prognostic unfavourable (8.07e-7)	prognostic unfavourable (6.46e-4)	unprognostic (3.70e-2)	unprognostic (1.19e-1)	prognostic unfavourable (2.68e-5)	unprognostic (5.99e-2)	prognostic unfavourable (0.00e+0)	unprognostic (4.56e-2)	unprognostic (2.30e-1)	unprognostic (1.76e-2)	unprognostic (1.39e-1)
CCNB2	O95067	unprognostic (2.69e-2)	unprognostic (2.25e-1)	unprognostic (4.43e-2)	unprognostic (1.96e-2)	unprognostic (1.77e-1)	unprognostic (4.65e-2)	prognostic unfavourable (2.83e-4)	prognostic unfavourable (4.63e-4)	prognostic unfavourable (3.21e-5)	unprognostic (1.09e-1)	prognostic unfavourable (1.74e-5)	unprognostic (4.48e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.96e-1)	unprognostic (1.41e-1)	unprognostic (3.98e-2)	unprognostic (4.44e-1)
PRR11	Q96HE9	unprognostic (1.74e-2)	unprognostic (1.02e-1)	unprognostic (1.30e-2)	prognostic unfavourable (1.90e-4)	unprognostic (2.15e-1)	unprognostic (3.03e-2)	prognostic unfavourable (1.35e-7)	prognostic unfavourable (1.79e-4)	unprognostic (7.22e-3)	unprognostic (2.00e-2)	prognostic unfavourable (6.18e-4)	unprognostic (2.80e-1)	prognostic unfavourable (0.00e+0)	unprognostic (2.56e-2)	unprognostic (5.21e-2)	unprognostic (1.84e-1)	unprognostic (1.55e-3)
CCNA2	P20248	unprognostic (4.02e-2)	unprognostic (1.93e-1)	unprognostic (7.66e-3)	prognostic unfavourable (8.78e-4)	unprognostic (1.25e-1)	unprognostic (1.67e-2)	prognostic unfavourable (9.17e-5)	prognostic unfavourable (4.27e-4)	unprognostic (3.92e-3)	unprognostic (2.65e-2)	prognostic unfavourable (4.43e-6)	unprognostic (8.38e-3)	prognostic unfavourable (0.00e+0)	unprognostic (1.65e-1)	unprognostic (1.82e-1)	unprognostic (6.07e-2)	unprognostic (1.59e-1)
CDK1	P06493	unprognostic (6.34e-2)	prognostic favourable (8.81e-4)	unprognostic (1.90e-1)	unprognostic (6.82e-2)	unprognostic (6.67e-2)	unprognostic (3.83e-2)	prognostic unfavourable (1.10e-6)	prognostic unfavourable (7.88e-4)	unprognostic (1.30e-2)	unprognostic (1.30e-1)	prognostic unfavourable (4.15e-6)	unprognostic (1.80e-2)	prognostic unfavourable (0.00e+0)	unprognostic (2.27e-1)	unprognostic (2.75e-1)	unprognostic (2.13e-1)	unprognostic (1.60e-1)
CDCA5	Q96FF9	unprognostic (3.14e-2)	unprognostic (4.20e-2)	unprognostic (1.05e-1)	prognostic unfavourable (2.67e-4)	unprognostic (2.15e-1)	unprognostic (2.68e-1)	prognostic unfavourable (8.21e-6)	unprognostic (1.41e-3)	unprognostic (7.55e-3)	unprognostic (6.93e-2)	prognostic unfavourable (8.72e-6)	unprognostic (2.16e-2)	prognostic unfavourable (0.00e+0)	unprognostic (3.55e-3)	unprognostic (1.86e-1)	unprognostic (1.35e-1)	unprognostic (8.97e-2)
FOXM1	Q08050	unprognostic (3.18e-2)	unprognostic (1.69e-1)	unprognostic (1.22e-2)	unprognostic (1.09e-2)	unprognostic (4.30e-2)	unprognostic (3.75e-2)	prognostic unfavourable (1.95e-6)	prognostic unfavourable (2.92e-4)	unprognostic (1.01e-2)	unprognostic (3.25e-2)	prognostic unfavourable (3.03e-5)	unprognostic (6.09e-2)	prognostic unfavourable (0.00e+0)	unprognostic (2.80e-2)	unprognostic (1.87e-1)	unprognostic (1.29e-1)	unprognostic (1.94e-1)
PLK1	P53350	unprognostic (7.21e-3)	unprognostic (1.77e-1)	unprognostic (1.98e-3)	unprognostic (4.97e-3)	unprognostic (9.56e-2)	unprognostic (5.12e-2)	prognostic unfavourable (2.70e-7)	prognostic unfavourable (2.28e-5)	unprognostic (2.55e-2)	unprognostic (1.89e-1)	prognostic unfavourable (4.12e-4)	unprognostic (1.24e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.33e-1)	unprognostic (8.10e-2)	unprognostic (1.19e-1)	unprognostic (1.26e-2)
TRIP13	Q15645	unprognostic (1.65e-2)	unprognostic (1.65e-1)	unprognostic (8.59e-2)	prognostic unfavourable (3.93e-4)	unprognostic (2.34e-2)	unprognostic (3.96e-2)	prognostic unfavourable (1.30e-6)	unprognostic (4.44e-3)	unprognostic (1.73e-3)	prognostic favourable (1.39e-4)	unprognostic (4.25e-2)	unprognostic (2.24e-2)	prognostic unfavourable (0.00e+0)	unprognostic (5.04e-2)	unprognostic (1.99e-1)	unprognostic (1.31e-1)	unprognostic (3.34e-1)
TOP2A	P11388	unprognostic (2.09e-1)	unprognostic (1.24e-1)	unprognostic (2.28e-3)	unprognostic (9.42e-3)	unprognostic (1.80e-1)	unprognostic (1.52e-1)	prognostic unfavourable (5.92e-6)	prognostic unfavourable (4.99e-4)	unprognostic (6.21e-3)	unprognostic (2.09e-1)	prognostic unfavourable (3.83e-5)	unprognostic (5.03e-2)	prognostic unfavourable (0.00e+0)	unprognostic (7.46e-2)	unprognostic (1.07e-1)	unprognostic (2.18e-1)	unprognostic (2.29e-1)
KIF11	P52732	unprognostic (1.53e-1)	unprognostic (1.11e-2)	unprognostic (1.59e-2)	unprognostic (3.35e-2)	unprognostic (2.12e-1)	unprognostic (7.82e-2)	prognostic unfavourable (8.19e-7)	prognostic unfavourable (3.27e-4)	unprognostic (1.24e-2)	unprognostic (1.09e-1)	prognostic unfavourable (2.30e-4)	unprognostic (6.59e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.35e-3)	unprognostic (7.23e-2)	unprognostic (9.08e-2)	unprognostic (2.01e-1)
COLGALT1	Q8NBJ5	unprognostic (2.46e-1)	unprognostic (1.16e-1)	unprognostic (3.49e-1)	unprognostic (1.85e-1)	unprognostic (1.17e-1)	unprognostic (1.56e-1)	prognostic unfavourable (1.65e-5)	unprognostic (2.92e-3)	unprognostic (2.92e-1)	unprognostic (1.66e-3)	prognostic unfavourable (1.92e-4)	unprognostic (3.89e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.43e-2)	unprognostic (1.09e-1)	unprognostic (8.87e-2)	prognostic unfavourable (3.83e-4)
SPC24	Q8NBT2	unprognostic (1.57e-1)	prognostic favourable (3.59e-4)	unprognostic (6.79e-2)	unprognostic (1.07e-3)	unprognostic (4.04e-1)	unprognostic (2.98e-2)	prognostic unfavourable (1.46e-4)	unprognostic (1.21e-2)	unprognostic (1.69e-2)	unprognostic (1.12e-2)	prognostic unfavourable (1.22e-4)	unprognostic (6.12e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.62e-2)	unprognostic (3.52e-2)	unprognostic (2.25e-1)	unprognostic (8.82e-2)
MELK	Q14680	unprognostic (5.03e-2)	unprognostic (9.57e-2)	unprognostic (2.27e-2)	unprognostic (3.42e-3)	unprognostic (2.16e-1)	unprognostic (1.23e-1)	prognostic unfavourable (2.91e-7)	prognostic unfavourable (3.99e-4)	unprognostic (1.26e-2)	unprognostic (1.60e-2)	prognostic unfavourable (4.58e-4)	unprognostic (4.69e-2)	prognostic unfavourable (0.00e+0)	unprognostic (8.86e-3)	unprognostic (1.37e-1)	unprognostic (2.40e-1)	unprognostic (1.35e-1)
KIF20A	O95235	unprognostic (7.50e-2)	unprognostic (2.43e-1)	unprognostic (1.39e-3)	unprognostic (1.21e-2)	unprognostic (3.47e-2)	unprognostic (2.60e-2)	prognostic unfavourable (2.14e-12)	prognostic unfavourable (6.79e-4)	unprognostic (2.86e-2)	unprognostic (3.16e-1)	prognostic unfavourable (1.90e-4)	unprognostic (9.73e-2)	prognostic unfavourable (0.00e+0)	unprognostic (9.05e-2)	unprognostic (2.61e-1)	unprognostic (1.09e-1)	unprognostic (3.16e-1)
RIPK2	O43353	unprognostic (1.20e-1)	unprognostic (1.02e-2)	unprognostic (2.35e-1)	unprognostic (3.82e-2)	unprognostic (1.67e-1)	unprognostic (6.20e-2)	unprognostic (1.43e-3)	prognostic unfavourable (6.33e-5)	unprognostic (2.06e-1)	unprognostic (7.80e-2)	prognostic unfavourable (5.00e-6)	unprognostic (6.39e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.84e-2)	unprognostic (5.08e-2)	unprognostic (1.05e-2)	prognostic favourable (8.05e-4)
FKBP10	Q96AY3	unprognostic (8.30e-2)	prognostic unfavourable (4.16e-4)	unprognostic (9.05e-2)	unprognostic (1.71e-2)	unprognostic (4.77e-2)	unprognostic (2.95e-2)	unprognostic (1.14e-2)	unprognostic (9.98e-2)	unprognostic (2.21e-2)	unprognostic (7.57e-2)	unprognostic (1.14e-1)	unprognostic (1.87e-1)	prognostic unfavourable (0.00e+0)	unprognostic (1.34e-2)	unprognostic (5.77e-2)	prognostic unfavourable (3.43e-5)	prognostic unfavourable (4.99e-4)
TNNT1	P13805	unprognostic (1.88e-1)	unprognostic (7.23e-2)	prognostic unfavourable (4.66e-4)	prognostic unfavourable (4.66e-4)	unprognostic (3.47e-3)	unprognostic (3.92e-3)	unprognostic (1.35e-3)	unprognostic (1.03e-3)	unprognostic (2.46e-1)	unprognostic (1.95e-1)	prognostic unfavourable (2.53e-4)	unprognostic (3.23e-1)	prognostic unfavourable (0.00e+0)	unprognostic (4.91e-2)	unprognostic (4.01e-2)	unprognostic (4.58e-2)	unprognostic (2.14e-2)
CDCA8	Q53HL2	unprognostic (8.36e-2)	unprognostic (2.00e-1)	unprognostic (8.39e-2)	unprognostic (7.75e-3)	unprognostic (2.34e-1)	unprognostic (5.42e-2)	prognostic unfavourable (4.93e-10)	unprognostic (4.30e-3)	prognostic unfavourable (6.04e-4)	unprognostic (3.00e-1)	prognostic unfavourable (8.32e-4)	unprognostic (3.78e-2)	prognostic unfavourable (0.00e+0)	unprognostic (6.39e-3)	unprognostic (2.99e-1)	unprognostic (3.18e-1)	unprognostic (1.67e-1)
MKI67	P46013	unprognostic (2.54e-1)	unprognostic (1.29e-1)	unprognostic (3.37e-1)	unprognostic (9.92e-3)	unprognostic (3.17e-1)	unprognostic (1.10e-1)	prognostic unfavourable (3.61e-6)	unprognostic (7.16e-3)	unprognostic (1.45e-2)	unprognostic (3.73e-1)	prognostic unfavourable (9.47e-5)	unprognostic (2.45e-2)	prognostic unfavourable (0.00e+0)	unprognostic (1.42e-2)	unprognostic (2.10e-1)	unprognostic (2.50e-1)	unprognostic (4.61e-1)
CDC20	Q12834	unprognostic (1.66e-2)	unprognostic (1.09e-1)	unprognostic (1.73e-2)	unprognostic (2.14e-3)	unprognostic (1.58e-1)	unprognostic (1.09e-1)	prognostic unfavourable (4.00e-8)	unprognostic (9.06e-3)	unprognostic (1.17e-2)	unprognostic (1.23e-2)	prognostic unfavourable (1.32e-4)	unprognostic (8.55e-2)	prognostic unfavourable (0.00e+0)	unprognostic (2.84e-2)	unprognostic (2.28e-1)	unprognostic (2.01e-1)	unprognostic (1.29e-2)
CENPF	P49454	unprognostic (2.80e-1)	unprognostic (2.16e-1)	unprognostic (2.65e-1)	unprognostic (5.30e-2)	unprognostic (1.73e-1)	unprognostic (2.40e-2)	prognostic unfavourable (2.29e-5)	unprognostic (1.13e-2)	unprognostic (2.58e-3)	unprognostic (1.11e-1)	prognostic unfavourable (1.39e-4)	unprognostic (1.58e-1)	prognostic unfavourable (0.00e+0)	unprognostic (3.92e-2)	unprognostic (1.71e-1)	unprognostic (1.89e-2)	unprognostic (4.12e-1)
SNRPA1	P09661	unprognostic (2.73e-1)	unprognostic (1.48e-1)	unprognostic (8.09e-2)	unprognostic (2.20e-1)	unprognostic (8.08e-2)	unprognostic (1.07e-1)	prognostic unfavourable (8.56e-5)	unprognostic (5.80e-2)	unprognostic (1.66e-3)	prognostic favourable (8.83e-5)	unprognostic (4.74e-2)	unprognostic (6.77e-3)	prognostic unfavourable (0.00e+0)	unprognostic (3.06e-2)	unprognostic (2.84e-1)	unprognostic (2.43e-1)	unprognostic (1.37e-2)
RRM2	P31350	unprognostic (2.10e-2)	unprognostic (1.62e-1)	unprognostic (6.40e-3)	unprognostic (4.42e-3)	unprognostic (5.70e-2)	unprognostic (1.69e-1)	prognostic unfavourable (1.39e-5)	unprognostic (1.04e-3)	unprognostic (6.67e-3)	unprognostic (4.53e-2)	prognostic unfavourable (1.62e-4)	unprognostic (5.11e-3)	prognostic unfavourable (0.00e+0)	unprognostic (3.05e-2)	unprognostic (2.24e-1)	unprognostic (1.38e-1)	unprognostic (2.09e-2)
